model,term,coef,std_err,p_value,ci_low,ci_high,nobs,rsquared,dep_mean,note,error
m0_post2017_baseline,C(cause_group)[T.产品责任纠纷],-8.646399219665148e-14,1.7825609249721243e-14,1.2312017460033154e-06,-1.2140154432858916e-13,-5.152644006471379e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.人身保险合同纠纷],-0.3233955314985529,0.014793370023209074,6.130236507803772e-106,-0.35239000395401715,-0.2944010590430886,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.仓储合同纠纷],0.640742890542264,0.015186084390899779,0.0,0.6109787120699145,0.6705070690146134,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.仿冒纠纷],-4.945725692279912e-14,1.0274397829495913e-14,1.4820535997637293e-06,-6.959470663144761e-14,-2.931980721415063e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.企业承包经营合同纠纷],-0.3199968241476007,0.01551154995933935,1.4892541270768055e-94,-0.35039890341229957,-0.2895947448829019,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.传播淫秽物品罪],1.885779745934484e-14,4.4093928282963665e-15,1.8965572537766084e-05,1.0215546322194753e-14,2.7500048596494924e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.伪造、变造、买卖国家机关公文、证件、印章罪],4.983516754333486e-14,1.0278298599762625e-14,1.2434749724534975e-06,2.969007246545165e-14,6.998026262121807e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.伪造、变造、买卖身份证件罪],5.192074717055257e-15,1.0292173605832854e-15,4.542752704411674e-07,3.1748457580486436e-15,7.209303676061871e-15,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.伪造、变造金融票证罪],-3.618776581427238e-14,7.536112663669303e-15,1.5715609571742163e-06,-5.095827521850043e-14,-2.1417256410044333e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.供用电合同纠纷],-0.3204673296306693,0.014847122758580595,2.5133412807424846e-103,-0.3495671555115323,-0.29136750374980636,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.侵占罪],3.115733433655392e-14,6.29489883653108e-15,7.435990596273684e-07,1.8819559330629916e-14,4.3495109342477924e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.侵害作品信息网络传播权纠纷],0.1782008355967368,0.20195720703766257,0.3775771420520284,-0.21762801661538098,0.5740296878088545,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.侵害作品发行权纠纷],-2.969407880795996e-14,6.106140989786292e-15,1.1562796508047723e-06,-4.1661895232464853e-14,-1.772626238345507e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.侵害作品复制权纠纷],-2.326171748723268e-14,4.607488402910591e-15,4.4488181149750544e-07,-3.229222881612341e-14,-1.423120615834195e-14,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
